Team,Total Games,Total Wins,Total Draws,Total Losses,Goals Scored,Goals Conceded,Win Rate %,Home Wins,Away Wins,Home Goals,Away Goals
Chelsea,1275,693,302,280,2015,1108,54.35,392,301,1107,908
Liverpool,1275,689,293,293,2001,1119,54.04,397,292,1133,868
Manchester Kék,1275,689,278,308,2182,1311,54.04,387,302,1205,977
Vörös Ördögök,1275,660,296,319,2080,1349,51.76,367,293,1106,974
Tottenham,1275,600,323,352,1864,1356,47.06,336,264,1039,825
London Ágyúk,1275,573,315,387,1843,1440,44.94,346,227,1064,779
Everton,1275,570,348,357,1582,1179,44.71,341,229,906,676
Brentford,1275,430,390,455,1232,1279,33.73,260,170,696,536
Newcastle,1275,424,309,542,1525,1789,33.25,241,183,816,709
Wolverhampton,1275,405,321,549,1493,1897,31.76,238,167,844,649
Fulham,1275,399,347,529,1328,1595,31.29,244,155,763,565
West Ham,1275,318,342,615,1218,1896,24.94,201,117,732,486
Brighton,1275,312,344,619,1165,1858,24.47,197,115,665,500
Crystal Palace,1275,309,381,585,971,1507,24.24,177,132,537,434
Nottingham,1275,257,326,692,989,1921,20.16,158,99,541,448
Aston Oroszlán,1275,223,383,669,929,1813,17.49,141,82,526,403
